Уравнение состояния : Соаве-Редлиха-Квонга (SRK)
Исходные данные (файл): C:/Github/SRK_calcultor/input_data.xlsx
Режим: Phase Envelope
Температура от, [К]: 230.0
Температура до, [К]: 235.0
Температура, точек: 6
Температура шаг, [К]: 1.0
Давление от, [МПа]: 0.2
Давление до, [МПа]: 4.2
Давление, точек: 5
Давление шаг, [МПа]: 1.0

Доля жидкости|Доля пара|Энтальпия жидкости|Энтальпия пара|Плотность жидкости|Плотность пара|Сверхсжимаемость жидкости|Сверхсжимаемость пара|Стабильность|Энтальпия смеси|Плотность смеси|Temp [K]|Pressure [MPa]
0.1          |0.9      |-2373.0           |-53.8         |0.9               |0.0           |0.0                      |1.0                  |0           |-367.8         |0.0            |230.0   |0.2           
0.2          |0.8      |-2038.3           |-211.2        |0.9               |0.0           |0.1                      |0.9                  |0           |-578.7         |0.0            |230.0   |1.2           
0.2          |0.8      |-1883.5           |-343.1        |0.9               |0.0           |0.1                      |0.9                  |0           |-716.3         |0.1            |230.0   |2.2           
0.3          |0.7      |-1764.7           |-470.0        |0.9               |0.0           |0.2                      |0.8                  |0           |-830.9         |0.1            |230.0   |3.2           
0.3          |0.7      |-1664.3           |-595.4        |0.8               |0.0           |0.2                      |0.8                  |0           |-931.0         |0.1            |230.0   |4.2           
0.1          |0.9      |-2387.0           |-53.6         |0.9               |0.0           |0.0                      |1.0                  |0           |-367.0         |0.0            |231.0   |0.2           
0.2          |0.8      |-2048.6           |-209.5        |0.9               |0.0           |0.1                      |0.9                  |0           |-576.1         |0.0            |231.0   |1.2           
0.2          |0.8      |-1892.3           |-339.7        |0.9               |0.0           |0.1                      |0.9                  |0           |-712.2         |0.1            |231.0   |2.2           
0.3          |0.7      |-1772.4           |-464.9        |0.9               |0.0           |0.2                      |0.8                  |0           |-825.5         |0.1            |231.0   |3.2           
0.3          |0.7      |-1671.1           |-588.3        |0.8               |0.0           |0.2                      |0.8                  |0           |-924.3         |0.1            |231.0   |4.2           
0.1          |0.9      |-2401.0           |-53.3         |0.9               |0.0           |0.0                      |1.0                  |0           |-366.2         |0.0            |232.0   |0.2           
0.2          |0.8      |-2058.8           |-207.9        |0.9               |0.0           |0.1                      |0.9                  |0           |-573.5         |0.0            |232.0   |1.2           
0.2          |0.8      |-1901.1           |-336.4        |0.9               |0.0           |0.1                      |0.9                  |0           |-708.3         |0.1            |232.0   |2.2           
0.3          |0.7      |-1780.1           |-459.8        |0.9               |0.0           |0.2                      |0.8                  |0           |-820.3         |0.1            |232.0   |3.2           
0.3          |0.7      |-1677.8           |-581.4        |0.8               |0.0           |0.2                      |0.8                  |0           |-917.8         |0.1            |232.0   |4.2           
0.1          |0.9      |-2414.9           |-53.1         |0.9               |0.0           |0.0                      |1.0                  |0           |-365.4         |0.0            |233.0   |0.2           
0.2          |0.8      |-2069.2           |-206.2        |0.9               |0.0           |0.1                      |0.9                  |0           |-571.0         |0.0            |233.0   |1.2           
0.2          |0.8      |-1909.9           |-333.2        |0.9               |0.0           |0.1                      |0.9                  |0           |-704.4         |0.1            |233.0   |2.2           
0.3          |0.7      |-1787.8           |-454.9        |0.9               |0.0           |0.2                      |0.8                  |0           |-815.1         |0.1            |233.0   |3.2           
0.3          |0.7      |-1684.6           |-574.7        |0.8               |0.0           |0.2                      |0.8                  |0           |-911.4         |0.1            |233.0   |4.2           
0.1          |0.9      |-2428.9           |-52.9         |0.9               |0.0           |0.0                      |1.0                  |0           |-364.6         |0.0            |234.0   |0.2           
0.2          |0.8      |-2079.5           |-204.6        |0.9               |0.0           |0.1                      |0.9                  |0           |-568.5         |0.0            |234.0   |1.2           
0.2          |0.8      |-1918.8           |-330.1        |0.9               |0.0           |0.1                      |0.9                  |0           |-700.6         |0.1            |234.0   |2.2           
0.3          |0.7      |-1795.6           |-450.2        |0.9               |0.0           |0.2                      |0.8                  |0           |-810.0         |0.1            |234.0   |3.2           
0.3          |0.7      |-1691.4           |-568.2        |0.8               |0.0           |0.2                      |0.8                  |0           |-905.2         |0.1            |234.0   |4.2           
0.1          |0.9      |-2442.9           |-52.7         |0.9               |0.0           |0.0                      |1.0                  |0           |-363.9         |0.0            |235.0   |0.2           
0.2          |0.8      |-2089.9           |-203.1        |0.9               |0.0           |0.1                      |0.9                  |0           |-566.1         |0.0            |235.0   |1.2           
0.2          |0.8      |-1927.7           |-327.1        |0.9               |0.0           |0.1                      |0.9                  |0           |-696.9         |0.1            |235.0   |2.2           
0.3          |0.7      |-1803.4           |-445.5        |0.9               |0.0           |0.2                      |0.8                  |0           |-805.0         |0.1            |235.0   |3.2           
0.3          |0.7      |-1698.3           |-561.8        |0.8               |0.0           |0.2                      |0.8                  |0           |-899.0         |0.1            |235.0   |4.2           
